RCD15,4,55
RCD15,16,135
RCD15,64,454
RCD15,256,1729
RCD15,1024,7191
RCD15,4096,28697
RCD15,16384,114129
RCD15,65536,457383
RCD56,4,89
RCD56,16,169
RCD56,64,488
RCD56,256,1763
RCD56,1024,6936
RCD56,4096,27485
RCD56,16384,109767
RCD56,65536,438350
RCD100,4,126
RCD100,16,205
RCD100,64,524
RCD100,256,1800
RCD100,1024,7761
RCD100,4096,29437
RCD100,16384,115691
RCD100,65536,460705
RCD125,4,146
RCD125,16,226
RCD125,64,545
RCD125,256,1821
RCD125,1024,7821
RCD125,4096,29504
RCD125,16384,115758
RCD125,65536,460772
RCD150,4,167
RCD150,16,247
RCD150,64,566
RCD150,256,1841
RCD150,1024,7889
RCD150,4096,29518
RCD150,16384,115772
RCD150,65536,460786
RCD175,4,188
RCD175,16,268
RCD175,64,586
RCD175,256,1862
RCD175,1024,7949
RCD175,4096,29559
RCD175,16384,115813
RCD175,65536,460827
RCD200,4,209
RCD200,16,288
RCD200,64,607
RCD200,256,1883
RCD200,1024,8010
RCD200,4096,29600
RCD200,16384,115853
RCD200,65536,460868
RCD25,4,63
RCD25,16,143
RCD25,64,462
RCD25,256,1738
RCD25,1024,7206
RCD25,4096,28732
RCD25,16384,114826
RCD25,65536,458391
RCD50,4,84
RCD50,16,164
RCD50,64,483
RCD50,256,1758
RCD50,1024,7633
RCD50,4096,29250
RCD50,16384,115583
RCD50,65536,460624
RCD75,4,105
RCD75,16,185
RCD75,64,503
RCD75,256,1779
RCD75,1024,7727
RCD75,4096,29377
RCD75,16384,115650
RCD75,65536,460664
RCD100,4,126
RCD100,16,205
RCD100,64,524
RCD100,256,1800
RCD100,1024,7761
RCD100,4096,29437
RCD100,16384,115691
RCD100,65536,460705
RCD125,4,146
RCD125,16,226
RCD125,64,545
RCD125,256,1821
RCD125,1024,7821
RCD125,4096,29504
RCD125,16384,115758
RCD125,65536,460772
RCD150,4,167
RCD150,16,247
RCD150,64,566
RCD150,256,1841
RCD150,1024,7889
RCD150,4096,29518
RCD150,16384,115772
RCD150,65536,460786
RCD175,4,188
RCD175,16,268
RCD175,64,586
RCD175,256,1862
RCD175,1024,7949
RCD175,4096,29559
RCD175,16384,115813
RCD175,65536,460827
RCD200,4,209
RCD200,16,288
RCD200,64,607
RCD200,256,1883
RCD200,1024,8010
RCD200,4096,29600
RCD200,16384,115853
RCD200,65536,460868
RCDSOM,4,89
RCDSOM,16,169
RCDSOM,64,488
RCDSOM,256,1763
RCDSOM,1024,6936
RCDSOM,4096,27485
RCDSOM,16384,109767
RCDSOM,65536,438350
RCDPCM,4,126
RCDPCM,16,205
RCDPCM,64,524
RCDPCM,256,1800
RCDPCM,1024,7009
RCDPCM,4096,27642
RCDPCM,16384,110142
RCDPCM,65536,440090
RCD15,4,55
RCD15,16,135
RCD15,64,454
RCD15,256,1729
RCD15,1024,7191
RCD15,4096,28697
RCD15,16384,114129
RCD15,65536,457383
