RCD50,4,64
RCD50,16,125
RCD50,64,226
RCD50,256,710
RCD50,1024,2645
RCD50,4096,10483
RCD50,16384,41696
RCD50,65536,166624
RCD100,4,96
RCD100,16,156
RCD100,64,257
RCD100,256,741
RCD100,1024,2676
RCD100,4096,10526
RCD100,16384,41971
RCD100,65536,167625
RCD150,4,127
RCD150,16,188
RCD150,64,289
RCD150,256,828
RCD150,1024,2763
RCD150,4096,10705
RCD150,16384,43441
RCD150,65536,174247
RCD200,4,159
RCD200,16,219
RCD200,64,320
RCD200,256,954
RCD200,1024,2889
RCD200,4096,11200
RCD200,16384,46153
RCD200,65536,184349
RCD250,4,190
RCD250,16,251
RCD250,64,352
RCD250,256,1080
RCD250,1024,3015
RCD250,4096,11704
RCD250,16384,48889
RCD250,65536,195776
