Batch8_Input8192_Output1, 1248.3662471479724, 0.00030456527448507776, 0.014619133175283731, 6.95775956284153e-05, 0.0001836390769230769, 0.0001836390769230769, 2.6189617486338797e-05, 2.8727322404371583e-05, 2.8750273224043715e-05, 1.6004918032786886e-05, 4.510273224043716e-05, 4.510273224043716e-05, 4.5110083228247163e-05, 0, 0
Batch16_Input8192_Output1, 1248.3662471479724, 0.0003085345237494746, 0.014809657139974779, 6.96568306010929e-05, 0.00034627815384615385, 0.00034627815384615385, 2.622349726775956e-05, 2.8769398907103823e-05, 2.8810928961748634e-05, 1.9515300546448086e-05, 4.519672131147541e-05, 4.519672131147541e-05, 4.516512484237075e-05, 0, 0
Batch32_Input8192_Output1, 1248.3662471479724, 0.0003165745119798234, 0.015195576575031525, 6.980546448087432e-05, 0.0006715563076923076, 0.0006715563076923076, 2.63224043715847e-05, 2.8857923497267758e-05, 2.894863387978142e-05, 2.6536065573770492e-05, 4.538688524590164e-05, 4.538688524590164e-05, 4.533024968474149e-05, 0, 0
Batch64_Input8192_Output1, 1248.3662471479724, 0.0003320867288776797, 0.015940162986128627, 7.014207650273224e-05, 0.0013221126153846153, 0.0013221126153846153, 2.6514754098360654e-05, 2.90448087431694e-05, 2.921584699453552e-05, 4.05775956284153e-05, 4.5465573770491804e-05, 4.5465573770491804e-05, 4.566049936948298e-05, 0, 0
Batch128_Input8192_Output1, 1248.3662471479724, 0.0003636953156788567, 0.017457375152585122, 7.087431693989071e-05, 0.002623225230769231, 0.002623225230769231, 2.6811475409836065e-05, 2.9478688524590164e-05, 2.9808743169398908e-05, 6.91551912568306e-05, 4.562295081967213e-05, 4.562295081967213e-05, 4.632099873896596e-05, 0, 0
Batch48_Input8192_Output1, 1248.3662471479724, 0.0003242598554014292, 0.015564473059268601, 6.99535519125683e-05, 0.0009968344615384616, 0.0009968344615384616, 2.639398907103825e-05, 2.893825136612022e-05, 2.9069398907103824e-05, 3.35568306010929e-05, 4.5426229508196724e-05, 4.5426229508196724e-05, 4.5495374527112236e-05, 0, 0
Batch96_Input8192_Output1, 1248.3662471479724, 0.0003474929348465742, 0.01667966087263556, 7.040655737704918e-05, 0.001972668923076923, 0.001972668923076923, 2.6657377049180326e-05, 2.9208743169398907e-05, 2.9521857923497266e-05, 5.461912568306011e-05, 4.554426229508197e-05, 4.554426229508197e-05, 4.599074905422447e-05, 0, 0
Batch192_Input8192_Output1, 1248.3662471479724, 0.00039584284993694833, 0.01900045679697352, 7.198579234972677e-05, 0.003924337846153846, 0.003924337846153846, 2.7371038251366117e-05, 3.0128961748633878e-05, 3.06327868852459e-05, 9.723715846994535e-05, 4.578032786885246e-05, 4.578032786885246e-05, 4.692645649432535e-05, 0, 0
Batch384_Input8192_Output1, 1248.3662471479724, 0.00050807859604876, 0.024387772610340478, 7.808907103825136e-05, 0.007827675692307691, 0.007827675692307691, 3.1795628415300546e-05, 3.6874316939890714e-05, 3.748743169398907e-05, 0.00018247431693989072, 4.625245901639345e-05, 4.625245901639345e-05, 4.88529129886507e-05, 0, 0
Batch768_Input8192_Output1, 1248.3662471479724, 0.000730217847835225, 0.035050456696090804, 8.983551912568306e-05, 0.015634351384615382, 0.015634351384615382, 4.0496721311475406e-05, 4.9773224043715843e-05, 5.006229508196721e-05, 0.00035294863387978146, 4.719781420765028e-05, 4.719781420765028e-05, 5.270582597730139e-05, 0, 0
Batch256_Input8192_Output1, 1248.3662471479724, 0.000432109360235393, 0.020741249291298863, 7.369344262295082e-05, 0.0052254504615384615, 0.0052254504615384615, 2.8751366120218577e-05, 3.1998360655737704e-05, 3.238907103825136e-05, 0.00012581475409836066, 4.593770491803279e-05, 4.593770491803279e-05, 4.758695586380833e-05, 0, 0
Batch512_Input8192_Output1, 1248.3662471479724, 0.0005828433106347204, 0.02797647891046658, 8.23087431693989e-05, 0.010429900923076923, 0.010429900923076923, 3.461147540983606e-05, 4.1153551912568304e-05, 4.182950819672131e-05, 0.0002396295081967213, 4.6568306010928964e-05, 4.6568306010928964e-05, 5.017391172761665e-05, 0, 0
Batch1024_Input8192_Output1, 1248.3662471479724, 0.000877742508617066, 0.04213164041361917, 9.750054644808743e-05, 0.020838801846153845, 0.020838801846153845, 4.616612021857924e-05, 5.808469945355192e-05, 5.827814207650273e-05, 0.0004667633879781421, 4.782841530054645e-05, 4.782841530054645e-05, 5.5292781841109715e-05, 0, 0
Batch2048_Input8192_Output1, 1248.3662471479724, 0.0014664414510298445, 0.07038918964943254, 0.0001264808743169399, 0.04165660369230769, 0.04165660369230769, 6.768415300546448e-05, 9.13879781420765e-05, 9.362841530054644e-05, 0.0009210322404371585, 5.034863387978142e-05, 5.034863387978142e-05, 6.553052206809584e-05, 0, 0
Batch4096_Input8192_Output1, 1248.3662471479724, 0.002638755182849937, 0.126660248776797, 0.0001837224043715847, 0.08329220738461537, 0.08329220738461537, 0.0001099191256830601, 0.00015799453551912569, 0.00016076284153005463, 0.0018295699453551913, 5.539016393442623e-05, 5.539016393442623e-05, 8.60060025220681e-05, 0, 0
