RCD15,4,55
RCD15,16,135
RCD15,64,454
RCD15,256,1729
RCD15,1024,10760
RCD15,4096,59388
RCD15,16384,203384
RCD15,65536,807318
RCD56,4,89
RCD56,16,169
RCD56,64,488
RCD56,256,1763
RCD56,1024,10794
RCD56,4096,59422
RCD56,16384,203417
RCD56,65536,807351
RCD100,4,126
RCD100,16,205
RCD100,64,524
RCD100,256,1800
RCD100,1024,10831
RCD100,4096,59458
RCD100,16384,203453
RCD100,65536,807388
RCD125,4,146
RCD125,16,226
RCD125,64,545
RCD125,256,1821
RCD125,1024,10852
RCD125,4096,59479
RCD125,16384,203474
RCD125,65536,807409
RCD150,4,167
RCD150,16,247
RCD150,64,566
RCD150,256,1841
RCD150,1024,10873
RCD150,4096,59500
RCD150,16384,203495
RCD150,65536,807429
RCD175,4,188
RCD175,16,268
RCD175,64,586
RCD175,256,1862
RCD175,1024,10893
RCD175,4096,59520
RCD175,16384,203516
RCD175,65536,807450
RCD200,4,209
RCD200,16,288
RCD200,64,607
RCD200,256,1883
RCD200,1024,10914
RCD200,4096,59541
RCD200,16384,203536
RCD200,65536,807471
