{name}, {compute_area_mm2+io_area_mm2}, {auto_regression_latency_simulated}, {auto_regression_latency_simulated*n_layers}, {qkv_latency}, {attention_latency}, {h_matmul0_latency}, {h1_matmul1_latency}, {h2_matmul2_latency}, {layernorm_latency}, {layernorm_latency}, {gelu_latency}, {allreduce_latency}, {allreduce_latency}"
Batch1_Input8192_Output1, 637.3805587002909, 0.011409283351742861, 0.36509706725577157, 0.0029425161611588944, 1.2872340425531915e-05, 0.000980838720386298, 0.0033631426286404083, 0.00342056899049343, 0.00013670638297872342, 0.00013670638297872342, 0.0004159317446808511, 0, 0
Batch2_Input8192_Output1, 637.3805587002909, 0.022502564782254417, 0.7200820730321413, 0.005801280851063821, 1.2436170212765958e-05, 0.0019337602836879402, 0.006698368100196193, 0.006813071178512134, 0.00022841418439716312, 0.00022841418439716312, 0.0007868198297872341, 0, 0
Batch1_Input8192_Output1, 637.3805587002909, 0.013674228304210041, 0.4375753057347213, 0.0029425161611588944, 0.0022778172928927115, 0.000980838720386298, 0.0033631426286404083, 0.00342056899049343, 0.00013670638297872342, 0.00013670638297872342, 0.0004159317446808511, 0, 0
Batch2_Input8192_Output1, 637.3805587002909, 0.024767945904934363, 0.7925742689578996, 0.005801280851063821, 0.0022778172928927115, 0.0019337602836879402, 0.006698368100196193, 0.006813071178512134, 0.00022841418439716312, 0.00022841418439716312, 0.0007868198297872341, 0, 0
Batch4_Input8192_Output1, 637.3805587002909, 0.04695541909219877, 1.5025734109503606, 0.011518810230873703, 0.0022778172928927115, 0.0038396034102912346, 0.013368819043307698, 0.013598075554549728, 0.00041182695035460996, 0.00041182695035460996, 0.001528639659574468, 0, 0
Batch1_Input8192_Output1, 637.3805587002909, 0.08391456438388441, 2.685266060284301, 0.0029425161611588944, 0.07251815337256706, 0.000980838720386298, 0.0033631426286404083, 0.00342056899049343, 0.00013670638297872342, 0.00013670638297872342, 0.0004159317446808511, 0, 0
Batch1_Input8192_Output1, 637.3805587002909, 0.08391456438388441, 2.685266060284301, 0.0029425161611588944, 0.07251815337256706, 0.000980838720386298, 0.0033631426286404083, 0.00342056899049343, 0.00013670638297872342, 0.00013670638297872342, 0.0004159317446808511, 0, 0
Batch1_Input8192_Output1, 637.3805587002909, 0.017075745089080014, 0.5464238428505604, 0.0029425161611588944, 0.005679334077762687, 0.000980838720386298, 0.0033631426286404083, 0.00342056899049343, 0.00013670638297872342, 0.00013670638297872342, 0.0004159317446808511, 0, 0
Batch2_Input8192_Output1, 637.3805587002909, 0.033836796767567026, 1.0827774965621448, 0.005801280851063821, 0.011346668155525375, 0.0019337602836879402, 0.006698368100196193, 0.006813071178512134, 0.00022841418439716312, 0.00022841418439716312, 0.0007868198297872341, 0, 0
Batch4_Input8192_Output1, 637.3805587002909, 0.0673589381103568, 2.1554860195314176, 0.011518810230873703, 0.02268133631105075, 0.0038396034102912346, 0.013368819043307698, 0.013598075554549728, 0.00041182695035460996, 0.00041182695035460996, 0.001528639659574468, 0, 0
Batch1_Input8192_Output1, 637.3805587002909, 0.015646362744127548, 0.5006836078120815, 0.0015131338162064278, 0.005679334077762687, 0.000980838720386298, 0.0033631426286404083, 0.00342056899049343, 0.00013670638297872342, 0.00013670638297872342, 0.0004159317446808511, 0, 0
