Batch1_Input8192_Output1, 637.3805587002909, 0.0005426910352393617, 0.02604916969148936, 0.000110816, 7.606010416666667e-05, 7.606010416666667e-05, 5.514666666666667e-05, 0.00011318466666666666, 0.00011318466666666666, 1.4864311835106384e-05, 4.522553191489362e-05, 4.522553191489362e-05, 4.504365957446809e-05, 0, 0
Batch4_Input8192_Output1, 637.3805587002909, 0.0004494957237563503, 0.021575794740304816, 9.394137618832051e-05, 0.00024124041666666665, 0.00024124041666666665, 4.274581258488004e-05, 7.895506262260452e-05, 7.886819576480057e-05, 1.9246099290780142e-05, 4.5282269503546105e-05, 4.5282269503546105e-05, 4.5174638297872346e-05, 0, 0
Batch1_Input65536_Output1, 637.3805587002909, 0.0005626850777925532, 0.027008883734042553, 0.000110816, 0.0004613401041666667, 0.0004613401041666667, 5.514666666666667e-05, 0.00011318466666666666, 0.00011318466666666666, 3.485835438829787e-05, 4.522553191489362e-05, 4.522553191489362e-05, 4.504365957446809e-05, 0, 0
Batch16_Input8192_Output1, 637.3805587002909, 0.00046827717599718326, 0.022477304447864797, 9.437873849403953e-05, 0.0009019616666666666, 0.0009019616666666666, 4.3036461948594136e-05, 7.962734268899953e-05, 7.920203712086914e-05, 3.459787234042553e-05, 4.586808510638298e-05, 4.586808510638298e-05, 4.569855319148936e-05, 0, 0
Batch4_Input65536_Output1, 637.3805587002909, 0.0005001723195010312, 0.0240082713360495, 9.394137618832051e-05, 0.0017823604166666666, 0.0017823604166666666, 4.274581258488004e-05, 7.895506262260452e-05, 7.886819576480057e-05, 6.9922695035461e-05, 4.5282269503546105e-05, 4.5282269503546105e-05, 4.5174638297872346e-05, 0, 0
Batch64_Input8192_Output1, 637.3805587002909, 0.0005440226016799961, 0.026113084880639813, 9.702026558020221e-05, 0.0035448466666666667, 0.0035448466666666667, 4.4610537699310907e-05, 8.231135757758666e-05, 8.071105075197431e-05, 9.85595744680851e-05, 4.650780141843972e-05, 4.650780141843972e-05, 4.779421276595745e-05, 0, 0
Batch1_Input16384_Output1, 637.3805587002909, 0.0005455455033244681, 0.026186184159574466, 0.000110816, 0.00013110010416666665, 0.00013110010416666665, 5.514666666666667e-05, 0.00011318466666666666, 0.00011318466666666666, 1.7718779920212765e-05, 4.522553191489362e-05, 4.522553191489362e-05, 4.504365957446809e-05, 0, 0
Batch4_Input16384_Output1, 637.3805587002909, 0.00045673544006840706, 0.02192330112328354, 9.394137618832051e-05, 0.00046140041666666666, 0.00046140041666666666, 4.274581258488004e-05, 7.895506262260452e-05, 7.886819576480057e-05, 2.648581560283688e-05, 4.5282269503546105e-05, 4.5282269503546105e-05, 4.5174638297872346e-05, 0, 0
Batch16_Input16384_Output1, 637.3805587002909, 0.0004908573178411549, 0.023561151256375437, 9.437873849403953e-05, 0.0017826016666666665, 0.0017826016666666665, 4.3036461948594136e-05, 7.962734268899953e-05, 7.920203712086914e-05, 5.717801418439716e-05, 4.586808510638298e-05, 4.586808510638298e-05, 4.569855319148936e-05, 0, 0
Batch16_Input65536_Output1, 637.3805587002909, 0.0006467551901815805, 0.031044249128715864, 9.437873849403953e-05, 0.007066441666666667, 0.007066441666666667, 4.3036461948594136e-05, 7.962734268899953e-05, 7.920203712086914e-05, 0.0002130758865248227, 4.586808510638298e-05, 4.586808510638298e-05, 4.569855319148936e-05, 0, 0
Batch64_Input16384_Output1, 637.3805587002909, 0.0006356211832402798, 0.03050981679553343, 9.702026558020221e-05, 0.007067406666666666, 0.007067406666666666, 4.4610537699310907e-05, 8.231135757758666e-05, 8.071105075197431e-05, 0.00019015815602836878, 4.650780141843972e-05, 4.650780141843972e-05, 4.779421276595745e-05, 0, 0
Batch1_Input32768_Output1, 637.3805587002909, 0.0005512586948138297, 0.026460417351063827, 0.000110816, 0.00024118010416666666, 0.00024118010416666666, 5.514666666666667e-05, 0.00011318466666666666, 0.00011318466666666666, 2.343197140957447e-05, 4.522553191489362e-05, 4.522553191489362e-05, 4.504365957446809e-05, 0, 0
Batch4_Input32768_Output1, 637.3805587002909, 0.0004712134542528042, 0.0226182458041346, 9.394137618832051e-05, 0.0009017204166666666, 0.0009017204166666666, 4.274581258488004e-05, 7.895506262260452e-05, 7.886819576480057e-05, 4.096382978723404e-05, 4.5282269503546105e-05, 4.5282269503546105e-05, 4.5174638297872346e-05, 0, 0
