Batch1_Input8192_Output1, 637.3805587002909, 0.019734250275740665, 0.947244013235552, 0.0022858684321714158, 0.00668806015793974, 0.001600177802927414, 0.004286744721090515, 0.004149205175795978, 0.00016076737588652481, 0.00016076737588652481, 0.0004026592340425532, 0, 0
Batch4_Input8192_Output1, 637.3805587002909, 0.07798500362295678, 3.7432801739019252, 0.008886863995774905, 0.026716240631758963, 0.006315174634072783, 0.0170623337960863, 0.016512620295760283, 0.0005080666666666667, 0.0005080666666666667, 0.0014756369361702128, 0, 0
Batch1_Input65536_Output1, 637.3805587002909, 0.5288790181759483, 25.38619287244552, 0.017688191413912802, 0.42664682279563443, 0.012601837075599856, 0.03409645256274931, 0.03299717378904487, 0.0009711333333333334, 0.0009711333333333334, 0.0029062738723404256, 0, 0
Batch16_Input8192_Output1, 637.3805587002909, 0.31098802268557807, 14.927425088907746, 0.03529084625018819, 0.10682896252703585, 0.025175161958653495, 0.06816469009607515, 0.06596628077561122, 0.0018972666666666666, 0.0018972666666666666, 0.005767547744680851, 0, 0
Batch4_Input65536_Output1, 637.3805587002909, 2.1145640780606345, 101.49907574691045, 0.07049615592274291, 1.7065512911825376, 0.050321811724764756, 0.1363011651626957, 0.1319044947487445, 0.003749531914893617, 0.003749531914893617, 0.011490095489361703, 0, 0
Batch64_Input8192_Output1, 637.3805587002909, 1.2430000932623486, 59.66400447659274, 0.1409067752678429, 0.4272798501081434, 0.10061511125697946, 0.27257411529593417, 0.26378092269515097, 0.007454063829787234, 0.007454063829787234, 0.022935190978723406, 0, 0
Batch1_Input16384_Output1, 637.3805587002909, 0.0524806793100951, 2.519072606884565, 0.004486200286705896, 0.026693632513455055, 0.0031718434133091856, 0.00854527441275596, 0.00827034354911723, 0.00027653333333333335, 0.00027653333333333335, 0.0007603184680851064, 0, 0
Batch4_Input16384_Output1, 637.3805587002909, 0.20897072543413417, 10.03059482083844, 0.017688191413912802, 0.10673853005382021, 0.012601837075599856, 0.03409645256274931, 0.03299717378904487, 0.0009711333333333334, 0.0009711333333333334, 0.0029062738723404256, 0, 0
Batch16_Input16384_Output1, 637.3805587002909, 0.8349309070933778, 40.076683540482136, 0.07049615592274291, 0.42691812021528086, 0.050321811724764756, 0.1363011651626957, 0.1319044947487445, 0.003749531914893617, 0.003749531914893617, 0.011490095489361703, 0, 0
Batch16_Input65536_Output1, 637.3805587002909, 8.45730432043664, 405.9506073809587, 0.2817280139579937, 6.826169164730151, 0.20120171032135248, 0.5451200155624111, 0.5275337785881357, 0.014863127659574468, 0.014863127659574468, 0.045825381957446815, 0, 0
Batch64_Input16384_Output1, 637.3805587002909, 3.3387716365676123, 160.2610385552454, 0.2817280139579937, 1.7076364808611233, 0.20120171032135248, 0.5451200155624111, 0.5275337785881357, 0.014863127659574468, 0.014863127659574468, 0.045825381957446815, 0, 0
Batch1_Input32768_Output1, 637.3805587002909, 0.15796207680841018, 7.582179686803689, 0.008886863995774905, 0.10669331381721237, 0.006315174634072783, 0.0170623337960863, 0.016512620295760283, 0.0005080666666666667, 0.0005080666666666667, 0.0014756369361702128, 0, 0
Batch4_Input32768_Output1, 637.3805587002909, 0.6308963154273917, 30.2830231405148, 0.03529084625018819, 0.4267372552688495, 0.025175161958653495, 0.06816469009607515, 0.06596628077561122, 0.0018972666666666666, 0.0018972666666666666, 0.005767547744680851, 0, 0
